archetypeName,url,common,uncommon,rare,strength,dexterity,constitution,wisdom,intelligence,charisma,innate,spontaneous,prepared,metastrike,skillScaling,reaction,focusSpells,weaponFamiliarity,resistance,infiniteHealing,multiclass,stance,exploration,skillFeats,minion,unarmed,arcane,divine,occult,primal,alchemy
Trick Driver,https://2e.aonprd.com/Archetypes.aspx?ID=112,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turpin Rowe Lumberjack,https://2e.aonprd.com/Archetypes.aspx?ID=40,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Twilight Speaker,https://2e.aonprd.com/Archetypes.aspx?ID=337,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ulfen Guard,https://2e.aonprd.com/Archetypes.aspx?ID=320,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Undead Master,https://2e.aonprd.com/Archetypes.aspx?ID=176,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Undead Slayer,https://2e.aonprd.com/Archetypes.aspx?ID=174,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unexpected Sharpshooter,https://2e.aonprd.com/Archetypes.aspx?ID=123,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vampire,https://2e.aonprd.com/Archetypes.aspx?ID=181,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vehicle Mechanic,https://2e.aonprd.com/Archetypes.aspx?ID=113,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venture-Gossip,https://2e.aonprd.com/Archetypes.aspx?ID=311,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verduran Shadow,https://2e.aonprd.com/Archetypes.aspx?ID=312,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vigilante,https://2e.aonprd.com/Archetypes.aspx?ID=267,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viking,https://2e.aonprd.com/Archetypes.aspx?ID=268,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wandering Chef,https://2e.aonprd.com/Archetypes.aspx?ID=277,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weapon Improviser,https://2e.aonprd.com/Archetypes.aspx?ID=269,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Werecreature,https://2e.aonprd.com/Archetypes.aspx?ID=225,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wild Mimic,https://2e.aonprd.com/Archetypes.aspx?ID=226,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Winged Warrior,https://2e.aonprd.com/Archetypes.aspx?ID=227,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Witch,https://2e.aonprd.com/Archetypes.aspx?ID=217,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wizard,https://2e.aonprd.com/Archetypes.aspx?ID=218,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Worm Caller,https://2e.aonprd.com/Archetypes.aspx?ID=208,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wrestler,https://2e.aonprd.com/Archetypes.aspx?ID=270,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wylderheart,https://2e.aonprd.com/Archetypes.aspx?ID=318,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zephyr Guard,https://2e.aonprd.com/Archetypes.aspx?ID=35,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zombie,https://2e.aonprd.com/Archetypes.aspx?ID=182,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
